Street Name,Class B,Class A,Class C,Class D,Class F,Class N,Grand Total
Lincoln Avenue,173,4,7,,,,184
Green Street,142,16,4,,,,162
Busey Avenue,85,11,5,,,,101
Main Street,68,9,12,,,,89
California Avenue,78,6,8,,,,92
Elm Street,70,8,5,2,,1,86
Oregon Street,72,9,6,,,,87
Michigan Avenue,74,9,2,,,,85
Illinois Street,70,5,7,,,,82
Florida Avenue,60,12,6,,,,78
Broadway Avenue,64,6,2,,,,72
Washington Street,57,14,2,,,,73
High Street,57,6,6,,,,69
Cottage Grove Avenue,54,6,7,,,,67
Nevada Street,51,3,5,,,,59
Coler Avenue,44,2,8,,,,54
Race Street,46,3,1,,,,50
Anderson Street,42,5,,,,,47
Stoughton Street,46,,5,,,,51
Harding Drive,41,4,,,,,45
Springfield Avenue,35,2,8,,,,45
Vine Street,40,1,1,2,,,44
Lanore Drive,29,6,1,,,,36
Austin Drive,22,7,6,,,,35
Hill Street,33,,5,,,,38
Rainbow View,22,5,6,,,,33
Colorado Avenue,23,7,2,,,,32
Park Street,26,4,,,,,30
Sunny Lane,14,16,,,,,30
Webber Street,27,2,1,,,,30
Gregory Street,21,5,2,,,,28
Briarcliff Drive,18,4,4,,,,26
Clark Street,22,3,,,,,25
Lynn Street,26,,,,,,26
Pennsylvania Avenue,24,1,,,,,25
Poplar Street,20,1,4,,,,25
Fairlawn Drive,24,2,1,,,,27
Country Squire Drive,21,1,1,,,,23
Church Street,20,,3,,,,23
Philo Road,21,,1,,,,22
Delaware Avenue,14,5,2,,,,21
Laurel Drive,19,2,,,,,21
Scovill Street,19,2,,,,,21
Harvey Street,16,2,1,,,,19
Iowa Street,16,2,,1,,,19
Lantern Hill Drive,14,4,2,,,,20
Maple Street,16,1,2,,,,19
Orchard Street,16,3,,,,,19
Willard Street,17,1,1,,,,19
Crystal Lake Drive,13,3,2,,,,18
Griggs Street,14,3,1,,,,18
Grove Street,15,2,1,,,,18
Brighton Drive,12,4,1,,,,17
Easy Street,10,4,2,,,,16
Mumford Drive,12,4,1,,,,17
Ohio Street,12,1,2,,,,15
Vawter Street,11,,4,,,,15
Walnut Street,15,,,,,,15
Water Street,14,,1,,,,15
Birch Street,13,1,,,,,14
Hunter Street,7,4,3,,,,14
Rutherford Drive,10,4,,,,,14
Vermont Avenue,12,,2,,,,14
Ivanhoe Way,12,,1,,,,13
Johnson Avenue,10,1,2,,,,13
Smith Road,7,5,1,,,,13
Western Avenue,12,1,,,,,13
Willow Road,10,1,,1,,,12
Beardsley Avenue,9,,2,,,,11
Beslin Street,6,1,4,,,,11
James Cherry Drive,10,1,,,,,11
McHenry Street,8,2,,,,1,11
Romine Street,4,3,4,,,,11
Shurts Street,8,2,1,,,,11
Stillwater Landing,10,1,,,,,11
Urbana Avenue,5,4,2,,,,11
Amber Lane,10,,,,,,10
